data,milhar
2022-09-24,8982
2022-09-23,6690
2022-09-22,8679
2022-09-21,5613
2022-09-20,6680
2022-09-19,6887
2022-09-17,4578
2022-09-16,1025
2022-09-15,5533
2022-09-14,7130
2022-09-13,3282
2022-12-09,9790
2022-10-09,8178
2022-09-09,6652
2022-08-09,8505
2022-06-09,0300
2022-05-09,3785
2022-03-09,2624
2022-02-09,7692
2022-01-09,4539
2022-08-31,9134
2022-08-30,1222
2022-08-29,4188
2022-08-27,8192
2022-08-26,8240
2022-08-25,0746
2022-08-24,9452
2022-08-23,7625
2022-08-22,6182
2022-08-20,2669
2022-08-19,6558
2022-08-18,4160
2022-08-17,2470
2022-08-16,1147
2022-08-15,1957
2022-08-13,0501
2022-12-08,1245
2022-11-08,3663
2022-10-08,7499
2022-09-08,1830
2022-08-08,7970
2022-06-08,9066
2022-05-08,1724
2022-04-08,6804
2022-03-08,6040
2022-02-08,3883
2022-01-08,2076
2022-07-30,7382
2022-07-29,3119
2022-07-28,8554
2022-07-27,9679
2022-07-26,1798
2022-07-25,1538
2022-07-23,5755
2022-07-22,6139
2022-07-21,1416
2022-07-20,0437
2022-07-19,7865
2022-07-18,8075
2022-07-16,6784
2022-07-15,9474
2022-07-14,2740
2022-07-13,7505
2022-12-07,4889
2022-11-07,1057
2022-09-07,6961
2022-08-07,9589
2022-07-07,2199
2022-06-07,7310
2022-05-07,9892
2022-04-07,6164
2022-02-07,7644
2022-01-07,1855
2022-06-30,6429
2022-06-29,5795
2022-06-28,3054
2022-06-27,1411
2022-06-25,8263
2022-06-24,5025
2022-06-23,7685
2022-06-22,6207
2022-06-21,1791
2022-06-20,6186
2022-06-18,4272
2022-06-17,7738
2022-06-16,3444
2022-06-15,4375
2022-06-14,0774
2022-06-13,4566
2022-11-06,1848
2022-10-06,2840
2022-09-06,5970
2022-08-06,7665
2022-07-06,9538
2022-06-06,9462
2022-04-06,9832
2022-03-06,2403
2022-02-06,8364
2022-01-06,6293
2022-05-31,9076
2022-05-30,8007
2022-05-28,4882
2022-05-27,8310
2022-05-26,0625
2022-05-25,5291
2022-05-24,3655
2022-05-23,6551
2022-05-21,4032
2022-05-20,5892
2022-05-19,1955
2022-05-18,5827
2022-05-17,1574
2022-05-16,8628
2022-05-14,0383
2022-05-13,9167
2022-12-05,9371
2022-11-05,1103
2022-10-05,5316
2022-09-05,4865
2022-07-05,3515
2022-06-05,4590
2022-05-05,4161
2022-04-05,0106
2022-03-05,6384
2022-02-05,9190
2022-04-30,3124
2022-04-29,0522
2022-04-28,7850
2022-04-27,8381
2022-04-26,1320
2022-04-25,7230
2022-04-23,2752
2022-04-22,0697
2022-04-20,1356
2022-04-19,2351
2022-04-18,9971
2022-04-16,4520
2022-04-14,3755
2022-04-13,4782
2022-12-04,1449
2022-11-04,5785
2022-09-04,7595
2022-08-04,8155
2022-07-04,4922
2022-06-04,1491
2022-05-04,4483
2022-04-04,8137
2022-02-04,9220
2022-01-04,6639
2022-03-31,0430
2022-03-30,2942
2022-03-29,5184
2022-03-28,8433
2022-03-26,7049
2022-03-25,2954
2022-03-24,0916
2022-03-23,6503
2022-03-22,1774
2022-03-21,8683
2022-03-19,7817
2022-03-18,0884
2022-03-17,9425
2022-03-16,8797
2022-03-15,2797
2022-03-14,9351
2022-12-03,5040
2022-11-03,9410
2022-10-03,0859
2022-09-03,6662
2022-08-03,5089
2022-07-03,4430
2022-05-03,8466
2022-04-03,6198
2022-03-03,9913
2022-02-03,3785
2022-01-03,3243
2022-02-28,5354
2022-02-26,0114
2022-02-25,9242
2022-02-24,0517
2022-02-23,3148
2022-02-22,8650
2022-02-21,0352
2022-02-19,7885
2022-02-18,2515
2022-02-17,5814
2022-02-16,2596
2022-02-15,6635
2022-02-14,2150
2022-12-02,4861
2022-11-02,1044
2022-10-02,1212
2022-09-02,1799
2022-08-02,6658
2022-07-02,4816
2022-05-02,0240
2022-04-02,2646
2022-03-02,3812
2022-02-02,2774
2022-01-02,1924
2022-01-31,5161
2022-01-29,0328
2022-01-28,4919
2022-01-27,5852
2022-01-26,4937
2022-01-25,0708
2022-01-24,4348
2022-01-22,8137
2022-01-21,2658
2022-01-20,9163
2022-01-19,5770
2022-01-18,0131
2022-01-17,7285
2022-01-15,1442
2022-01-14,9338
2022-01-13,2806
2022-12-01,9348
2022-11-01,6919
2022-10-01,3218
2022-08-01,7643
2022-07-01,8132
2022-06-01,5136
2022-05-01,3295
2022-04-01,2413
2022-03-01,5204
2021-12-30,0226
2021-12-29,4751
2021-12-28,7339
2021-12-27,0403
2021-12-23,5649
2021-12-22,0793
2021-12-21,6898
2021-12-20,0740
2021-12-18,9211
2021-12-17,7548
2021-12-16,9397
2021-12-15,1124
2021-12-14,2346
2021-12-13,5438
2021-11-12,4672
2021-10-12,2132
2021-09-12,0204
2021-08-12,5452
2021-07-12,0290
2021-06-12,1121
2021-04-12,1929
2021-03-12,3945
